,Rank,Movie_Name,IMDB_Rating,Year_of_Release, Movie Name,Year,IMDB Rating,Story,Director,Gross
279,,,,,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Gore Verbinski,$305.41M
280,,,,,"Monsters, Inc.",2001.0,8.1,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",Pete Docter,$289.92M
281,,,,,Underground,1995.0,8.1,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate.",Emir Kusturica,$0.17M
282,,,,,Groundhog Day,1993.0,8.1,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",Harold Ramis,$70.91M
283,,,,,Time of the Gypsies,1988.0,8.1,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",Emir Kusturica,$0.28M
284,,,,,My Neighbor Totoro,1988.0,8.1,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",Hayao Miyazaki,$1.11M
285,,,,,The Seventh Seal,1957.0,8.1,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",Ingmar Bergman,"183,444"
286,,,,,The Wizard of Oz,1939.0,8.1,"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",Victor Fleming,$2.08M
287,,,,,Wolfwalkers,2020.0,8.0,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,Tomm Moore,"31,314"
288,,,,,Soul,2020.0,8.0,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",Pete Docter,"316,822"
289,,,,,The Tale of The Princess Kaguya,2013.0,8.0,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",Isao Takahata,$1.51M
290,,,,,Song of the Sea,2014.0,8.0,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",Tomm Moore,$0.86M
291,,,,,Zack Snyder's Justice League,2021.0,8.0,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",Zack Snyder,"385,009"
292,,,,,Big Fish,2003.0,8.0,A frustrated son tries to determine the fact from fiction in his dying father's life.,Tim Burton,$66.26M
293,,,,,Aladdin,1992.0,8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Ron Clements,$217.35M
294,,,,,Beauty and the Beast,1991.0,8.0,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Gary Trousdale,$218.97M
295,,,,,Akira,1988.0,8.0,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",Katsuhiro Ôtomo,$0.55M
296,,,,,The Princess Bride,1987.0,8.0,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,$30.86M
297,,,,,Wings of Desire,1987.0,8.0,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.",Wim Wenders,$3.33M
298,,,,,Castle in the Sky,1986.0,8.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Hayao Miyazaki,"164,724"
299,,,,,Pink Floyd: The Wall,1982.0,8.0,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,Alan Parker,$22.24M
