,Rank,Movie_Name,IMDB_Rating,Year_of_Release, Movie Name,Year,IMDB Rating,Story,Director,Gross
79,80.Avengers: Endgame(2019),Avengers: Endgame,8.3,2019.0,,,,,,
80,81.Once Upon a Time in America(1984),Once Upon a Time in America,8.3,1984.0,,,,,,
81,82.Good Will Hunting(1997),Good Will Hunting,8.3,1997.0,,,,,,
82,83.Your Name.(2016),Your Name.,8.3,2016.0,,,,,,
83,84.Toy Story 3(2010),Toy Story 3,8.3,2010.0,,,,,,
84,85.Requiem for a Dream(2000),Requiem for a Dream,8.3,2000.0,,,,,,
85,86.Singin' in the Rain(1952),Singin' in the Rain,8.3,1952.0,,,,,,
86,87.3 Idiots(2009),3 Idiots,8.3,2009.0,,,,,,
87,88.Star Wars: Episode VI - Return of the Jedi(1983),Star Wars: Episode VI - Return of the Jedi,8.3,1983.0,,,,,,
88,89.High and Low(1963),High and Low,8.3,1963.0,,,,,,
89,90.2001: A Space Odyssey(1968),2001: A Space Odyssey,8.3,1968.0,,,,,,
90,91.Eternal Sunshine of the Spotless Mind(2004),Eternal Sunshine of the Spotless Mind,8.3,2004.0,,,,,,
91,92.Reservoir Dogs(1992),Reservoir Dogs,8.3,1992.0,,,,,,
92,93.Capernaum(2018),Capernaum,8.3,2018.0,,,,,,
93,94.Citizen Kane(1941),Citizen Kane,8.3,1941.0,,,,,,
94,95.Lawrence of Arabia(1962),Lawrence of Arabia,8.3,1962.0,,,,,,
95,96.The Hunt(2012),The Hunt,8.3,2012.0,,,,,,
96,97.M(1931),M,8.3,1931.0,,,,,,
97,98.North by Northwest(1959),North by Northwest,8.3,1959.0,,,,,,
98,99.Vertigo(1958),Vertigo,8.2,1958.0,,,,,,
99,100.Come and See(1985),Come and See,8.2,1985.0,,,,,,
100,101.Amélie(2001),Amélie,8.2,2001.0,,,,,,
101,102.A Clockwork Orange(1971),A Clockwork Orange,8.2,1971.0,,,,,,
102,103.Full Metal Jacket(1987),Full Metal Jacket,8.2,1987.0,,,,,,
103,104.Double Indemnity(1944),Double Indemnity,8.2,1944.0,,,,,,
104,105.The Apartment(1960),The Apartment,8.2,1960.0,,,,,,
105,106.Scarface(1983),Scarface,8.2,1983.0,,,,,,
106,107.Ikiru(1952),Ikiru,8.2,1952.0,,,,,,
107,108.The Sting(1973),The Sting,8.2,1973.0,,,,,,
108,109.To Kill a Mockingbird(1962),To Kill a Mockingbird,8.2,1962.0,,,,,,
109,110.Taxi Driver(1976),Taxi Driver,8.2,1976.0,,,,,,
110,111.Up(2009),Up,8.2,2009.0,,,,,,
111,112.Heat(1995),Heat,8.2,1995.0,,,,,,
112,113.L.A. Confidential(1997),L.A. Confidential,8.2,1997.0,,,,,,
113,114.Metropolis(1927),Metropolis,8.2,1927.0,,,,,,
114,115.A Separation(2011),A Separation,8.2,2011.0,,,,,,
115,116.Incendies(2010),Incendies,8.2,2010.0,,,,,,
116,117.Die Hard(1988),Die Hard,8.2,1988.0,,,,,,
117,118.Hamilton(2020),Hamilton,8.2,2020.0,,,,,,
118,119.Snatch(2000),Snatch,8.2,2000.0,,,,,,
119,120.Bicycle Thieves(1948),Bicycle Thieves,8.2,1948.0,,,,,,
120,121.Indiana Jones and the Last Crusade(1989),Indiana Jones and the Last Crusade,8.2,1989.0,,,,,,
121,122.1917(2019),1917,8.2,2019.0,,,,,,
122,123.Like Stars on Earth(2007),Like Stars on Earth,8.2,2007.0,,,,,,
123,124.Downfall(2004),Downfall,8.2,2004.0,,,,,,
124,125.For a Few Dollars More(1965),For a Few Dollars More,8.2,1965.0,,,,,,
125,126.Batman Begins(2005),Batman Begins,8.2,2005.0,,,,,,
126,127.Dangal(2016),Dangal,8.2,2016.0,,,,,,
127,128.The Kid(1921),The Kid,8.2,1921.0,,,,,,
128,129.Some Like It Hot(1959),Some Like It Hot,8.2,1959.0,,,,,,
129,130.Spider-Man: No Way Home(2021),Spider-Man: No Way Home,8.2,2021.0,,,,,,
130,131.The Father(2020),The Father,8.2,2020.0,,,,,,
131,132.All About Eve(1950),All About Eve,8.2,1950.0,,,,,,
132,133.Green Book(2018),Green Book,8.2,2018.0,,,,,,
133,134.The Wolf of Wall Street(2013),The Wolf of Wall Street,8.2,2013.0,,,,,,
134,135.Judgment at Nuremberg(1961),Judgment at Nuremberg,8.2,1961.0,,,,,,
135,136.Ran(1985),Ran,8.2,1985.0,,,,,,
136,137.Unforgiven(1992),Unforgiven,8.2,1992.0,,,,,,
137,138.Casino(1995),Casino,8.2,1995.0,,,,,,
138,139.Pan's Labyrinth(2006),Pan's Labyrinth,8.2,2006.0,,,,,,
139,140.There Will Be Blood(2007),There Will Be Blood,8.2,2007.0,,,,,,
140,141.The Sixth Sense(1999),The Sixth Sense,8.2,1999.0,,,,,,
141,142.The Truman Show(1998),The Truman Show,8.2,1998.0,,,,,,
142,143.A Beautiful Mind(2001),A Beautiful Mind,8.2,2001.0,,,,,,
143,144.Monty Python and the Holy Grail(1975),Monty Python and the Holy Grail,8.2,1975.0,,,,,,
144,145.Yojimbo(1961),Yojimbo,8.2,1961.0,,,,,,
145,146.The Treasure of the Sierra Madre(1948),The Treasure of the Sierra Madre,8.1,1948.0,,,,,,
146,147.Shutter Island(2010),Shutter Island,8.1,2010.0,,,,,,
147,148.Jurassic Park(1993),Jurassic Park,8.1,1993.0,,,,,,
148,149.Rashomon(1950),Rashomon,8.1,1950.0,,,,,,
149,150.The Great Escape(1963),The Great Escape,8.1,1963.0,,,,,,
150,151.Kill Bill: Vol. 1(2003),Kill Bill: Vol. 1,8.1,2003.0,,,,,,
151,152.No Country for Old Men(2007),No Country for Old Men,8.1,2007.0,,,,,,
152,153.Finding Nemo(2003),Finding Nemo,8.1,2003.0,,,,,,
153,154.The Elephant Man(1980),The Elephant Man,8.1,1980.0,,,,,,
154,155.Chinatown(1974),Chinatown,8.1,1974.0,,,,,,
155,156.Raging Bull(1980),Raging Bull,8.1,1980.0,,,,,,
156,157.Gone with the Wind(1939),Gone with the Wind,8.1,1939.0,,,,,,
157,158.The Thing(1982),The Thing,8.1,1982.0,,,,,,
158,159.V for Vendetta(2006),V for Vendetta,8.1,2006.0,,,,,,
159,160.Inside Out(2015),Inside Out,8.1,2015.0,,,,,,
160,161.Lock,"Lock, Stock and Two Smoking Barrels",8.1,1998.0,,,,,,
161,162.Dial M for Murder(1954),Dial M for Murder,8.1,1954.0,,,,,,
162,163.Everything Everywhere All at Once(2022),Everything Everywhere All at Once,8.1,2022.0,,,,,,
163,164.The Secret in Their Eyes(2009),The Secret in Their Eyes,8.1,2009.0,,,,,,
164,165.Howl's Moving Castle(2004),Howl's Moving Castle,8.1,2004.0,,,,,,
165,166.The Bridge on the River Kwai(1957),The Bridge on the River Kwai,8.1,1957.0,,,,,,
166,167.Three Billboards Outside Ebbing,"Three Billboards Outside Ebbing, Missouri",8.1,2017.0,,,,,,
167,168.Trainspotting(1996),Trainspotting,8.1,1996.0,,,,,,
168,169.Warrior(2011),Warrior,8.1,2011.0,,,,,,
169,170.Gran Torino(2008),Gran Torino,8.1,2008.0,,,,,,
170,171.Fargo(1996),Fargo,8.1,1996.0,,,,,,
171,172.Prisoners(2013),Prisoners,8.1,2013.0,,,,,,
172,173.My Neighbor Totoro(1988),My Neighbor Totoro,8.1,1988.0,,,,,,
173,174.Million Dollar Baby(2004),Million Dollar Baby,8.1,2004.0,,,,,,
174,175.The Gold Rush(1925),The Gold Rush,8.1,1925.0,,,,,,
175,176.Catch Me If You Can(2002),Catch Me If You Can,8.1,2002.0,,,,,,
176,177.Blade Runner(1982),Blade Runner,8.1,1982.0,,,,,,
177,178.On the Waterfront(1954),On the Waterfront,8.1,1954.0,,,,,,
178,179.Children of Heaven(1997),Children of Heaven,8.1,1997.0,,,,,,
179,180.The Third Man(1949),The Third Man,8.1,1949.0,,,,,,
180,181.Ben-Hur(1959),Ben-Hur,8.1,1959.0,,,,,,
181,182.Wild Strawberries(1957),Wild Strawberries,8.1,1957.0,,,,,,
182,183.Before Sunrise(1995),Before Sunrise,8.1,1995.0,,,,,,
183,184.12 Years a Slave(2013),12 Years a Slave,8.1,2013.0,,,,,,
184,185.The General(1926),The General,8.1,1926.0,,,,,,
185,186.Gone Girl(2014),Gone Girl,8.1,2014.0,,,,,,
186,187.Harry Potter and the Deathly Hallows: Part 2(2011),Harry Potter and the Deathly Hallows: Part 2,8.1,2011.0,,,,,,
187,188.The Deer Hunter(1978),The Deer Hunter,8.1,1978.0,,,,,,
188,189.In the Name of the Father(1993),In the Name of the Father,8.1,1993.0,,,,,,
189,190.The Grand Budapest Hotel(2014),The Grand Budapest Hotel,8.1,2014.0,,,,,,
190,191.Mr. Smith Goes to Washington(1939),Mr. Smith Goes to Washington,8.1,1939.0,,,,,,
191,192.The Wages of Fear(1953),The Wages of Fear,8.1,1953.0,,,,,,
192,193.Barry Lyndon(1975),Barry Lyndon,8.1,1975.0,,,,,,
193,194.Sherlock Jr.(1924),Sherlock Jr.,8.1,1924.0,,,,,,
194,195.Memories of Murder(2003),Memories of Murder,8.1,2003.0,,,,,,
195,196.Hacksaw Ridge(2016),Hacksaw Ridge,8.1,2016.0,,,,,,
196,197.Klaus(2019),Klaus,8.1,2019.0,,,,,,
197,198.The Seventh Seal(1957),The Seventh Seal,8.1,1957.0,,,,,,
198,199.Room(2015),Room,8.1,2015.0,,,,,,
199,200.Wild Tales(2014),Wild Tales,8.1,2014.0,,,,,,
200,201.Mad Max: Fury Road(2015),Mad Max: Fury Road,8.1,2015.0,,,,,,
201,202.The Big Lebowski(1998),The Big Lebowski,8.1,1998.0,,,,,,
202,203.How to Train Your Dragon(2010),How to Train Your Dragon,8.1,2010.0,,,,,,
203,204.Mary and Max(2009),Mary and Max,8.1,2009.0,,,,,,
204,205.Monsters,"Monsters, Inc.",8.1,2001.0,,,,,,
